marca,modelo,año,kilometraje,version,transmision,precio (MXN),ubicacion
Kia,Soul,2020,25606,1.6 LX AUTO,Automático,262999,Guadalajara
Nissan,Versa,2017,108034,1.6 SENSE AUTO,Automático,160999,Monterrey
Kia,Sportage,2018,62842,2.0 EX PACK AUTO,Automático,309999,Querétaro
Kia,Seltos,2021,45296,1.6 SX AUTO,Automático,345999,Ciudad de México
Renault,Duster,2018,80800,2.0 INTENS,Manual,189999,Ciudad de México
Fiat,Mobi,2019,83000,1.0 LIKE,Manual,154999,Ciudad de México
Honda,HR-V,2018,41612,1.8 TOURING CVT,Automático,310999,Ciudad de México
Nissan,V-Drive,2021,31600,1.6 VDRIVE AC,Manual,213999,Ciudad de México
Nissan,Sentra,2018,81000,1.8 ADVANCE AUTO,Automático,201999,Ciudad de México
Honda,CR-V,2016,72859,2.4 LX,Automático,266999,Ciudad de México
Chevrolet,Beat,2018,58340,1.2 LT B,Manual,154999,Guadalajara
Kia,FORTE,2020,61254,2.0 L IVT,Automático,231999,Ciudad de México
Kia,Sportage,2018,55145,2.0 EX AUTO,Automático,270999,Ciudad de México
Kia,Sportage,2018,63924,2.0 EX PACK AUTO,Automático,308999,Ciudad de México
Nissan,Versa,2017,110344,1.6 SENSE AUTO,Automático,163999,Ciudad de México
Suzuki,Swift,2020,45046,1.0 BOOSTERJET,Manual,252999,Ciudad de México
Chevrolet,Trax,2016,96500,1.8 A LS MT,Manual,187999,Ciudad de México
Volkswagen,Polo,2020,42000,1.6 SOUND MT,Manual,223999,Ciudad de México
Nissan,Sentra,2019,45000,1.8 ADVANCE AUTO,Automático,235999,Ciudad de México
Seat,Arona,2021,32393,1.6 REFERENCE AUTO,Automático,294999,Guadalajara
Volkswagen,Vento,2021,9746,1.6 STARTLINE,Manual,244999,Ciudad de México
Chevrolet,Equinox,2016,46000,2.4 LT E AUTO,Automático,217999,Ciudad de México
Seat,Arona,2021,61642,1.6 REFERENCE AUTO,Automático,265999,Ciudad de México
